GCJN1H;Cabo da Roca II - The W point of Europa;LISBOA;Portelada;38.78435;-9.496;TRADITIONAL;REGULAR;1.5;3.5;AVAILABLE;2004/06/07;692;9;66;57
GC14BRP;Forgotten Gardens [Oeiras];LISBOA;Bringer;38.698239;-9.316369;TRADITIONAL;SMALL;2;2;AVAILABLE;2007/07/14;561;10;121;14
GC171VF;PR1 - Trilho das Jans;PORTALEGRE;almeidara;39.536467;-7.8253;TRADITIONAL;REGULAR;1.5;2.5;AVAILABLE;2007/10/29;33;3;5;65
GC10KYW;TF-01 Nascentes do Lena [Porto de Mos];LEIRIA;trifaisca;39.579033;-8.813;TRADITIONAL;SMALL;2;2;AVAILABLE;2007/01/28;233;2;3;192
GC174NQ;PR2 - MONTE DO MEROUCO - FOJO VELHO ;BRAGA;eterlusitano;41.552517;-8.161417;TRADITIONAL;SMALL;2;3.5;AVAILABLE;2007/11/02;35;3;5;536
GCWA0A;Surf Spot [Mafra];LISBOA;Bargao_Henriques;39.00065;-9.42525;TRADITIONAL;REGULAR;1.5;2.5;AVAILABLE;2006/05/29;520;2;12;10
GC15APG;Nascente do Vale da Pipa [Thomar];SANTAREM;paulohercules;39.627517;-8.459083;TRADITIONAL;REGULAR;2;3;AVAILABLE;2007/08/23;223;2;39;-9999999
GCQXDH;Salty Pirate Island (Ilha do Rato, Lisbon/Montijo);SETUBAL;DerAlex;38.68695;-9.03585;TRADITIONAL;REGULAR;4;5;AVAILABLE;2005/10/08;180;7;55;0
GC12MV8;Santo Isidro de Pegoes [Montijo];SETUBAL;Tanyne;38.681733;-8.664017;TRADITIONAL;SMALL;1;1;AVAILABLE;2007/05/05;542;11;7;60
GCY3MF;Black Pit [Penafiel];PORTO;Silvana;41.0581;-8.3678;TRADITIONAL;REGULAR;2;3;AVAILABLE;2006/09/02;64;9;7;33
GCX3Y3;22.5 House Barao Sao Joao area, Algarve;FARO;Team Caracache;37.156283;-8.801617;MULTI;SMALL;3;3;AVAILABLE;2006/07/12;61;4;3;143
GCTN8E;The Spirit of Saint Louis;SETUBAL;FGV;38.53665;-8.9231;TRADITIONAL;REGULAR;2;3;AVAILABLE;2006/02/28;245;4;10;174
GC16HBH;Sao Bartolomeu do Outeiro;EVORA;tirapicos team;38.354267;-7.909483;MULTI;SMALL;2;1.5;AVAILABLE;2007/10/07;82;2;4;342
GC15AH7;Moinho do Perigo [Vinhais];BRAGANCA;Pinaster;41.826767;-7.0289;TRADITIONAL;SMALL;1.5;2;AVAILABLE;2007/08/18;33;2;4;609
GC14G30;The Dark Lady of Guadalupe (Vila do Bispo);FARO;Team Caracache;37.083017;-8.865917;MULTI;SMALL;2;2;AVAILABLE;2007/07/20;249;10;4;46
GCQ7JZ;O Ascensor da Bica / The Bica Funicular;LISBOA;rifkindsss;38.7086;-9.146883;TRADITIONAL;MICRO;2;1.5;DISABLED;2005/08/21;1373;122;61;20
GC12PBC;Letterbox Ti Jacinto [Alenquer];LISBOA;mtrevas;39.067367;-9.083333;LETTERBOX;REGULAR;3;2;AVAILABLE;2007/05/06;122;3;26;135
GC14NVR;O mais alto Alem Tejo...;PORTALEGRE;luis74;39.31355;-7.360717;TRADITIONAL;REGULAR;2;2.5;AVAILABLE;2007/07/27;186;23;8;-9999999
GC13K9C;Rio de Onor [PN Montezinho];BRAGANCA;almeidara;41.941067;-6.617283;MULTI;REGULAR;1.5;2;AVAILABLE;2007/05/17;90;8;8;-9999999
GCRX74;Monte Abraao Stonehenge;LISBOA;Lopesco;38.768817;-9.264583;TRADITIONAL;SMALL;3;3;AVAILABLE;2006/01/07;311;16;4;-9999999
GC10FGA;Linhas de Torres e as Comunicacoes [Ponte do Rol];LISBOA;almeidara;39.08675;-9.32305;TRADITIONAL;REGULAR;1;1.5;AVAILABLE;2007/01/20;355;14;3;29
GCR0YK;Ribeira de Seda - Alter do Chao;PORTALEGRE;M.I.K.E;39.265617;-7.7052;TRADITIONAL;REGULAR;2;3.5;AVAILABLE;2005/10/16;89;1;8;166
GCG1YK;Homage to Kazuo Dan [Torres Vedras];LISBOA;Lobo Astuto;39.135367;-9.382167;VIRTUAL;VIRTUAL;1;1;AVAILABLE;2003/05/03;838;0;22;17
GC15MH5;MOSTEIRO DE BUSTELO;PORTO;eterlusitano;41.229667;-8.270533;MULTI;SMALL;2;1.5;AVAILABLE;2007/09/03;130;13;0;258
